SubjectID,Task,Block,Group,Mean(RT)
2015,Acquisition,10,Random,273.35
2015,Acquisition,11,Random,360.1833333
2015,Acquisition,12,Random,339.9916667
2015,Acquisition,13,Random,392.4583333
2015,Acquisition,14,Random,367.2083333
2015,Retention,1,Random,279.775
2015,Retention,2,Random,259.2
2015,Retention,3,Random,272.9083333
2015,Retention,4,Random,273.65
2015,Retention,5,Random,269.8
2015,Retention,6,Random,276.875
2015,Retention,7,Random,273.7166667
2016,Acquisition,1,Random,335.1333333
2016,Acquisition,2,Random,357.7416667
2016,Acquisition,3,Random,343.05
2016,Acquisition,4,Random,371.6416667
2016,Acquisition,5,Random,409.8
2016,Acquisition,6,Random,381.9666667
2016,Acquisition,7,Random,505.6666667
2016,Acquisition,8,Random,349.7
2016,Acquisition,9,Random,338.9166667
2016,Acquisition,10,Random,373.6083333
2016,Acquisition,11,Random,340.8833333
2016,Acquisition,12,Random,382.2416667
2016,Acquisition,13,Random,367.475
2016,Acquisition,14,Random,338.4583333
2016,Retention,1,Random,353
2016,Retention,2,Random,366.35
2016,Retention,3,Random,318.5583333
2016,Retention,4,Random,385.3083333
2016,Retention,5,Random,340.1916667
2016,Retention,6,Random,359.4333333
2016,Retention,7,Random,339.1
2017,Acquisition,1,Random,338.8166667
2017,Acquisition,2,Random,324.25
2017,Acquisition,3,Random,315.8416667
2017,Acquisition,4,Random,308.3416667
2017,Acquisition,5,Random,296.4333333
2017,Acquisition,6,Random,297.2166667
2017,Acquisition,7,Random,292.4333333
2017,Acquisition,8,Random,323.6916667
2017,Acquisition,9,Random,296.9583333
2017,Acquisition,10,Random,290.9416667
2017,Acquisition,11,Random,284.2083333
2017,Acquisition,12,Random,281.2583333
2017,Acquisition,13,Random,290.175
2017,Acquisition,14,Random,283.95
2017,Retention,1,Random,302.2916667
2017,Retention,2,Random,299.375
2017,Retention,3,Random,304.05
2017,Retention,4,Random,309.3
2017,Retention,5,Random,296.7333333
2017,Retention,6,Random,285.125
2017,Retention,7,Random,297.3833333
2018,Acquisition,1,Random,319.5583333
2018,Acquisition,2,Random,313.6583333
2018,Acquisition,3,Random,287.15
2018,Acquisition,4,Random,285.9
2018,Acquisition,5,Random,272.7
2018,Acquisition,6,Random,264.4333333
2018,Acquisition,7,Random,266.7
2018,Acquisition,8,Random,257.6166667
2018,Acquisition,9,Random,246.6583333
2018,Acquisition,10,Random,241.2
2018,Acquisition,11,Random,271.775
2018,Acquisition,12,Random,234.3333333
2018,Acquisition,13,Random,260.5
2018,Acquisition,14,Random,247.7083333
2018,Retention,1,Random,279.2333333
2018,Retention,2,Random,281.7666667
2018,Retention,3,Random,265.7833333
2018,Retention,4,Random,265.9833333
2018,Retention,5,Random,287.3333333
2018,Retention,6,Random,272.5
2018,Retention,7,Random,253.0083333
2019,Acquisition,1,Random,272.35
2019,Acquisition,2,Random,286.925
2019,Acquisition,3,Random,282.9833333
2019,Acquisition,4,Random,291.1416667
2019,Acquisition,5,Random,277.5916667
2019,Acquisition,6,Random,269.85
2019,Acquisition,7,Random,294.2333333
2019,Acquisition,8,Random,275.8083333
2019,Acquisition,9,Random,266.0333333
2019,Acquisition,10,Random,260.775
2019,Acquisition,11,Random,275.9833333
2019,Acquisition,12,Random,269.3166667
2019,Acquisition,13,Random,283.9583333
2019,Acquisition,14,Random,273.8583333
2019,Retention,1,Random,261.7166667
2019,Retention,2,Random,262.35
2019,Retention,3,Random,270.475
2019,Retention,4,Random,258.1416667
2019,Retention,5,Random,273.9583333
2019,Retention,6,Random,279.975
2019,Retention,7,Random,275.5
